,model,truevals,predvals
0,model_4b,0.1742,0.19699828
1,model_4b,0.3472,0.345883
2,model_4b,0.2622,0.25298515
3,model_4b,0.0902,0.12197079
4,model_4b,0.2579,0.29174083
5,model_4b,0.2599,0.23546626
6,model_4b,0.0246,0.014028451
7,model_4b,0.2669,0.2583791
8,model_4b,0.1207,0.20217696
9,model_4b,0.0055,0.043380283
10,model_4b,0.5098,0.504648
11,model_4b,-0.012,0.046063907
12,model_4b,0.7691,0.81316996
13,model_4b,0.5229,0.4953491
14,model_4b,0.3393,0.34185204
15,model_4b,0.1309,0.09491917
16,model_4b,0.172,0.16037835
17,model_4b,0.0511,0.040230125
18,model_4b,-0.0566,-0.025106192
19,model_4b,0.6193,0.5961661
20,model_4b,0.2788,0.2385564
21,model_4b,0.3404,0.24021088
22,model_4b,0.018,0.007812078
23,model_4b,0.109,0.10624154
24,model_4b,0.5985,0.62835664
25,model_4b,0.216,0.16434695
26,model_4b,0.0461,-0.04490932
27,model_4b,0.4293,0.4243192
28,model_4b,0.3765,0.39013082
29,model_4b,0.7156,0.73881215
30,model_4b,0.1617,0.13850771
31,model_4b,0.0708,0.05023683
32,model_4b,0.0481,0.0710143
33,model_4b,0.452,0.5106614
34,model_4b,-0.0023,0.009877563
35,model_4b,0.5507,0.32498968
36,model_4b,0.1282,0.123428926
37,model_4b,0.082,0.07954329
38,model_4b,0.4076,0.25887558
39,model_4b,-0.0092,0.11329837
40,model_4b,-0.1556,-0.14187029
41,model_4b,0.7308,0.7827422
42,model_4b,0.2341,0.21239696
43,model_4b,0.679,0.49907655
44,model_4b,0.2077,0.21091563
45,model_4b,0.5919,0.5497655
46,model_4b,0.1955,0.23420665
47,model_4b,0.4366,0.36984172
48,model_4b,0.1824,0.23476179
49,model_4b,0.3717,0.3372047
50,model_4b,0.0313,0.046246324
51,model_4b,-0.0219,0.016073864
52,model_4b,0.0104,0.027051024
53,model_4b,-0.032,-0.036472958
54,model_4b,-0.0008,0.05260613
55,model_4b,0.1056,0.13285305
56,model_4b,0.9643,0.94586927
57,model_4b,0.4371,0.41445202
58,model_4b,0.4938,0.5580395
59,model_4b,0.6281,0.51506454
60,model_4b,0.2727,0.31823772
61,model_4b,0.5963,0.64679617
62,model_4b,0.4225,0.43047512
63,model_4b,0.142,0.16715465
64,model_4b,0.1854,0.12893836
65,model_4b,0.0249,0.074295625
66,model_4b,0.2698,0.25485134
67,model_4b,0.4806,0.5023475
68,model_4b,0.6473,0.6494245
69,model_4b,0.0937,0.10370511
70,model_4b,0.2429,0.27537474
71,model_4b,0.1974,0.19740002
72,model_4b,0.2327,0.25642198
73,model_4b,0.0672,0.07867675
74,model_4b,0.7554,0.7505911
75,model_4b,0.4633,0.38347602
76,model_4b,0.5518,0.602428
77,model_4b,0.2451,0.44997877
78,model_4b,0.4036,0.35624582
79,model_4b,0.2338,0.1817881
80,model_4b,0.0979,0.111988276
81,model_4b,0.1907,0.14804739
82,model_4b,0.0072,-0.077268966
83,model_4b,0.2432,0.24450065
84,model_4b,0.2318,0.29225364
85,model_4b,-0.0746,-0.07633351
86,model_4b,0.4221,0.45608994
87,model_4b,0.1755,0.23510766
88,model_4b,0.2446,0.23953623
89,model_4b,0.0904,0.12226936
90,model_4b,0.0879,0.10319427
91,model_4b,0.6955,0.68135744
92,model_4b,0.0591,0.13126887
93,model_4b,0.6959,0.68891805
94,model_4b,-0.1278,-0.09806782
95,model_4b,0.0624,0.09814128
96,model_4b,0.0442,0.025412582
97,model_4b,0.6297,0.65245813
98,model_4b,0.2852,0.3444367
99,model_4b,0.0936,0.0774903
100,model_4b,0.0606,0.067653075
101,model_4b,0.1987,0.17251326
102,model_4b,0.09,0.09023285
103,model_4b,0.2364,0.2634995
104,model_4b,0.4779,0.46861416
105,model_4b,0.1909,0.12361266
106,model_4b,0.1822,0.15666242
107,model_4b,0.69,0.6999292
108,model_4b,0.2662,0.26214713
109,model_4b,0.1372,0.1492161
110,model_4b,0.1736,0.121024325
111,model_4b,0.696,0.67918235
112,model_4b,0.2744,0.23081875
113,model_4b,0.1972,0.22166623
114,model_4b,0.2457,0.21789573
115,model_4b,0.1107,0.09636563
116,model_4b,0.3896,0.26589656
117,model_4b,0.2898,0.35614106
118,model_4b,-0.0475,-0.059353374
119,model_4b,-0.1115,-0.06975163
120,model_4b,0.0938,0.18520023
121,model_4b,0.1639,0.16930287
122,model_4b,0.6244,0.5688184
123,model_4b,0.2373,0.262627
124,model_4b,0.3146,0.33145422
125,model_4b,0.2164,0.3308653
126,model_4b,0.1153,0.1307592
127,model_4b,0.2167,0.22076453
128,model_4b,-0.0591,0.0028000055
129,model_4b,0.1402,0.11178637
130,model_4b,0.1971,0.23990367
131,model_4b,0.3754,0.37331527
132,model_4b,0.3665,0.42337346
133,model_4b,0.7798,0.8276504
134,model_4b,0.3074,0.25952107
135,model_4b,0.4226,0.4318704
136,model_4b,0.0883,0.09532019
137,model_4b,0.4308,0.4451102
138,model_4b,0.3496,0.40728384
139,model_4b,0.8872,0.8828341
140,model_4b,0.0269,0.03960319
141,model_4b,0.0201,0.07065709
142,model_4b,0.0545,0.06474881
143,model_4b,0.408,0.3528206
144,model_4b,0.4498,0.41632462
145,model_4b,0.5567,0.5803552
146,model_4b,0.1679,0.22734652
147,model_4b,0.3179,0.29344976
148,model_4b,0.2809,0.29173034
149,model_4b,0.0747,0.0585137
150,model_4b,0.407,0.40616053
