,model,truevals,predvals
0,model_1,0.1742,0.2205145
1,model_1,0.3472,0.35408908
2,model_1,0.2622,0.21741074
3,model_1,0.0902,0.13374782
4,model_1,0.2579,0.22922495
5,model_1,0.2599,0.25304154
6,model_1,0.0246,0.052530855
7,model_1,0.2669,0.34559265
8,model_1,0.1207,0.0930891
9,model_1,0.0055,0.01884842
10,model_1,0.5098,0.30877465
11,model_1,-0.012,0.014320612
12,model_1,0.7691,0.76609385
13,model_1,0.5229,0.5516554
14,model_1,0.3393,0.30770773
15,model_1,0.1309,0.047997296
16,model_1,0.172,0.06583819
17,model_1,0.0511,0.07197702
18,model_1,-0.0566,-0.056619048
19,model_1,0.6193,0.62437725
20,model_1,0.2788,0.2926839
21,model_1,0.3404,0.121808365
22,model_1,0.018,0.05661179
23,model_1,0.109,0.08444652
24,model_1,0.5985,0.5897142
25,model_1,0.216,0.1202661
26,model_1,0.0461,-0.07861149
27,model_1,0.4293,0.18973541
28,model_1,0.3765,0.39049774
29,model_1,0.7156,0.7618897
30,model_1,0.1617,0.14387581
31,model_1,0.0708,-0.02411455
32,model_1,0.0481,0.019555584
33,model_1,0.452,0.49655628
34,model_1,-0.0023,-0.002225846
35,model_1,0.5507,0.28076726
36,model_1,0.1282,0.12546442
37,model_1,0.082,0.059128508
38,model_1,0.4076,0.35894775
39,model_1,-0.0092,0.152257
40,model_1,-0.1556,-0.15950653
41,model_1,0.7308,0.7755493
42,model_1,0.2341,0.14561257
43,model_1,0.679,-0.03622949
44,model_1,0.2077,0.32929295
45,model_1,0.5919,0.4731979
46,model_1,0.1955,0.20405212
47,model_1,0.4366,0.2520098
48,model_1,0.1824,0.24340425
49,model_1,0.3717,0.35358438
50,model_1,0.0313,0.18569577
51,model_1,-0.0219,0.009017527
52,model_1,0.0104,0.03348732
53,model_1,-0.032,0.050570697
54,model_1,-0.0008,0.010966748
55,model_1,0.1056,0.12522268
56,model_1,0.9643,0.8926302
57,model_1,0.4371,0.46942452
58,model_1,0.4938,0.5358154
59,model_1,0.6281,0.5703232
60,model_1,0.2727,0.24873379
61,model_1,0.5963,0.6654153
62,model_1,0.4225,0.4073258
63,model_1,0.142,0.21818492
64,model_1,0.1854,0.19565952
65,model_1,0.0249,0.012499839
66,model_1,0.2698,0.24073315
67,model_1,0.4806,0.36692905
68,model_1,0.6473,0.6623146
69,model_1,0.0937,0.1085304
70,model_1,0.2429,0.29488808
71,model_1,0.1974,0.12070902
72,model_1,0.2327,0.27750927
73,model_1,0.0672,0.048125863
74,model_1,0.7554,0.8035728
75,model_1,0.4633,0.4190653
76,model_1,0.5518,0.5356063
77,model_1,0.2451,0.4451034
78,model_1,0.4036,0.23462598
79,model_1,0.2338,0.21297877
80,model_1,0.0979,0.057903066
81,model_1,0.1907,0.26449203
82,model_1,0.0072,0.045740575
83,model_1,0.2432,0.23072717
84,model_1,0.2318,0.18361148
85,model_1,-0.0746,-0.021055639
86,model_1,0.4221,0.4337459
87,model_1,0.1755,0.1726372
88,model_1,0.2446,0.18569049
89,model_1,0.0904,0.1062496
90,model_1,0.0879,0.0741404
91,model_1,0.6955,0.64149535
92,model_1,0.0591,-0.004994586
93,model_1,0.6959,0.7056079
94,model_1,-0.1278,-0.07813558
95,model_1,0.0624,0.07093789
96,model_1,0.0442,0.07853483
97,model_1,0.6297,0.6325229
98,model_1,0.2852,0.36543116
99,model_1,0.0936,0.01794231
100,model_1,0.0606,0.03210026
101,model_1,0.1987,0.22424728
102,model_1,0.09,0.016081035
103,model_1,0.2364,0.25534996
104,model_1,0.4779,0.45296383
105,model_1,0.1909,0.10664803
106,model_1,0.1822,0.27996585
107,model_1,0.69,0.6232735
108,model_1,0.2662,0.2033625
109,model_1,0.1372,0.11505393
110,model_1,0.1736,0.15881835
111,model_1,0.696,0.69051313
112,model_1,0.2744,0.24534884
113,model_1,0.1972,0.17059968
114,model_1,0.2457,0.2986596
115,model_1,0.1107,0.084072605
