,subset,mae,mse,rmse,R2
0,train,0.02215183526277542,0.000909247959498316,0.03015373833477497,0.9831728935241699
1,train,0.022457625716924667,0.000960429257247597,0.03099079243838787,0.9822957515716553
2,train,0.02530910260975361,0.0011855284683406353,0.03443150222301483,0.9782174825668335
3,train,0.022486070170998573,0.0009360032272525132,0.030594170093536377,0.9826828241348267
4,train,0.025261593982577324,0.001241610269062221,0.03523648902773857,0.9771838188171387
5,train,0.02674887515604496,0.001326062367297709,0.03641514107584953,0.9754482507705688
6,train,0.023281777277588844,0.000966745603363961,0.031092533841729164,0.9822084307670593
7,train,0.02239314839243889,0.0009210645221173763,0.030349044129252434,0.9829864501953125
8,train,0.024318519979715347,0.0010567278368398547,0.03250734880566597,0.9805297255516052
9,train,0.03258175402879715,0.0017659111181274056,0.04202274605631828,0.967549204826355
10,train,0.024424469098448753,0.0010882413480430841,0.03298850357532501,0.9799224734306335
11,train,0.026760855689644814,0.001236605690792203,0.03516540303826332,0.9772850871086121
12,train,0.025035521015524864,0.0010368125513195992,0.03219957277178764,0.9808987379074097
13,train,0.03524868190288544,0.0019539559725672007,0.04420357570052147,0.9638463854789734
14,train,0.022843215614557266,0.0010000347392633557,0.03162332624197006,0.9815526604652405
15,train,0.02745453268289566,0.001325284014455974,0.03640444949269295,0.9756145477294922
16,train,0.024595975875854492,0.0011068263556808233,0.0332689993083477,0.9796406030654907
17,train,0.02165646106004715,0.0008545498130843043,0.029232684522867203,0.9841464757919312
18,train,0.021029701456427574,0.0008026203722693026,0.02833055518567562,0.9852026104927063
19,train,0.023135272786021233,0.0009834289085119963,0.03135966882109642,0.9818959832191467
20,train,0.024321338161826134,0.0010266678873449564,0.03204165771603584,0.9811081886291504
21,train,0.023608816787600517,0.0010338337160646915,0.032153286039829254,0.9808245301246643
22,train,0.023279719054698944,0.0009774372447282076,0.03126399219036102,0.9819744229316711
23,train,0.021668018773198128,0.0008701759506948292,0.029498744755983353,0.9839999675750732
24,train,0.02421991527080536,0.001177070545963943,0.03430846333503723,0.9783262014389038
25,valid,0.036152832210063934,0.0028085517697036266,0.052995771169662476,0.9489663243293762
26,valid,0.03697678819298744,0.003179246326908469,0.05638480558991432,0.9413198232650757
27,valid,0.03930724039673805,0.003316157264634967,0.05758608505129814,0.9379838705062866
28,valid,0.03639133647084236,0.002814261242747307,0.053049612790346146,0.9488093852996826
29,valid,0.03884372487664223,0.0033950854558497667,0.05826736241579056,0.9365344643592834
30,valid,0.039303120225667953,0.0034249622840434313,0.05852317810058594,0.9378758072853088
31,valid,0.03671396151185036,0.0029056405182927847,0.05390399321913719,0.946021556854248
32,valid,0.03708214685320854,0.0033144867047667503,0.05757157877087593,0.939325213432312
33,valid,0.0388256199657917,0.003308356273919344,0.057518310844898224,0.9388046264648438
34,valid,0.04403943195939064,0.004016059450805187,0.06337238848209381,0.9249417185783386
35,valid,0.03774580731987953,0.0030612314585596323,0.05532839521765709,0.9436944723129272
36,valid,0.04075734689831734,0.0034530451521277428,0.05876261740922928,0.9353570342063904
37,valid,0.03830190375447273,0.0032077289652079344,0.05663681775331497,0.9406630992889404
38,valid,0.04603985324501991,0.004049460403621197,0.06363537162542343,0.9263647198677063
39,valid,0.03664889186620712,0.0030534504912793636,0.05525803565979004,0.9438002109527588
40,valid,0.040369488298892975,0.0035033011808991432,0.05918869003653526,0.9348418712615967
41,valid,0.037392258644104004,0.002966008149087429,0.05446106940507889,0.9447875618934631
42,valid,0.0362137071788311,0.0033234846778213978,0.05764967203140259,0.940165102481842
43,valid,0.03584861010313034,0.0029232457745820284,0.05406704917550087,0.946079432964325
44,valid,0.03706876561045647,0.0029531039763242006,0.054342471063137054,0.9452061057090759
45,valid,0.03776165097951889,0.0029558949172496796,0.054368142038583755,0.9450572729110718
46,valid,0.03771566227078438,0.003084280528128147,0.05553629994392395,0.9444447159767151
47,valid,0.03768087178468704,0.0032117231748998165,0.05667206645011902,0.9408265948295593
48,valid,0.035200752317905426,0.0027478181291371584,0.05241963639855385,0.948767900466919
49,valid,0.03811492770910263,0.003392845392227173,0.058248136192560196,0.9371047019958496
