,model,truevals,predvals
0,model_6,0.1742,0.19289021
1,model_6,0.3472,0.29362687
2,model_6,0.2622,0.26888177
3,model_6,0.0902,0.09379761
4,model_6,0.2579,0.22842583
5,model_6,0.2599,0.22538118
6,model_6,0.0246,0.050790578
7,model_6,0.2669,0.27834195
8,model_6,0.1207,0.121949375
9,model_6,0.0055,0.05203333
10,model_6,0.5098,0.5143364
11,model_6,-0.012,-0.12789784
12,model_6,0.7691,0.7856401
13,model_6,0.5229,0.4414086
14,model_6,0.3393,0.30694202
15,model_6,0.1309,0.15417373
16,model_6,0.172,0.15457825
17,model_6,0.0511,0.038700882
18,model_6,-0.0566,-0.049428485
19,model_6,0.6193,0.61583763
20,model_6,0.2788,0.1792198
21,model_6,0.3404,0.20625982
22,model_6,0.018,0.010072166
23,model_6,0.109,0.121372566
24,model_6,0.5985,0.66591865
25,model_6,0.216,0.08818013
26,model_6,0.0461,-0.072572246
27,model_6,0.4293,0.19406807
28,model_6,0.3765,0.40154862
29,model_6,0.7156,0.7651293
30,model_6,0.1617,0.18171278
31,model_6,0.0708,0.00083357235
32,model_6,0.0481,0.049612526
33,model_6,0.452,0.42006072
34,model_6,-0.0023,0.010833185
35,model_6,0.5507,0.39416635
36,model_6,0.1282,0.13563392
37,model_6,0.082,0.054784317
38,model_6,0.4076,0.3947178
39,model_6,-0.0092,0.14686231
40,model_6,-0.1556,-0.22511327
41,model_6,0.7308,0.76876026
42,model_6,0.2341,0.26890093
43,model_6,0.679,0.65320486
44,model_6,0.2077,0.43244165
45,model_6,0.5919,0.5453908
46,model_6,0.1955,0.24351577
47,model_6,0.4366,0.40369618
48,model_6,0.1824,0.1358994
49,model_6,0.3717,0.43422893
50,model_6,0.0313,-0.0015626182
51,model_6,-0.0219,-0.044274434
52,model_6,0.0104,0.08446873
53,model_6,-0.032,-0.06858096
54,model_6,-0.0008,0.086066306
55,model_6,0.1056,-0.08337613
56,model_6,0.9643,0.93935084
57,model_6,0.4371,0.34744096
58,model_6,0.4938,0.58646685
59,model_6,0.6281,0.5298499
60,model_6,0.2727,0.26210937
61,model_6,0.5963,0.57965046
