,model,truevals,predvals
0,model_2,0.1742,0.17001915
1,model_2,0.3472,0.3379548
2,model_2,0.2622,0.20957375
3,model_2,0.0902,0.07913558
4,model_2,0.2579,0.27220973
5,model_2,0.2599,0.26577342
6,model_2,0.0246,0.01542489
7,model_2,0.2669,0.26482525
8,model_2,0.1207,0.09711623
9,model_2,0.0055,0.032839686
10,model_2,0.5098,0.48012808
11,model_2,-0.012,0.05648081
12,model_2,0.7691,0.74835414
13,model_2,0.5229,0.4743989
14,model_2,0.3393,0.23690955
15,model_2,0.1309,0.11650394
16,model_2,0.172,0.18225391
17,model_2,0.0511,0.045858644
18,model_2,-0.0566,-0.07581707
19,model_2,0.6193,0.5774657
20,model_2,0.2788,0.2964978
21,model_2,0.3404,0.13689966
22,model_2,0.018,0.061815426
23,model_2,0.109,0.13607411
24,model_2,0.5985,0.6364525
25,model_2,0.216,0.19012012
26,model_2,0.0461,0.034436204
27,model_2,0.4293,0.24217246
28,model_2,0.3765,0.34137443
29,model_2,0.7156,0.7418851
30,model_2,0.1617,0.16584621
31,model_2,0.0708,0.049772292
32,model_2,0.0481,0.074001715
33,model_2,0.452,0.46508482
34,model_2,-0.0023,-0.043304183
35,model_2,0.5507,0.45341036
36,model_2,0.1282,0.14444704
37,model_2,0.082,0.056716308
38,model_2,0.4076,0.33429343
39,model_2,-0.0092,0.18328314
40,model_2,-0.1556,-0.14605829
41,model_2,0.7308,0.7215882
42,model_2,0.2341,0.22995834
43,model_2,0.679,0.6937421
44,model_2,0.2077,0.18299355
45,model_2,0.5919,0.5981489
46,model_2,0.1955,0.14881212
47,model_2,0.4366,0.33977118
48,model_2,0.1824,0.18716379
49,model_2,0.3717,0.22280097
50,model_2,0.0313,0.03550238
51,model_2,-0.0219,-0.003269555
52,model_2,0.0104,0.05937408
53,model_2,-0.032,-0.049241796
54,model_2,-0.0008,0.023599667
55,model_2,0.1056,0.03444366
56,model_2,0.9643,0.9115965
57,model_2,0.4371,0.4700401
58,model_2,0.4938,0.55449206
59,model_2,0.6281,0.5625209
60,model_2,0.2727,0.29855797
61,model_2,0.5963,0.5722336
62,model_2,0.4225,0.4094393
63,model_2,0.142,0.17745622
64,model_2,0.1854,0.19082028
65,model_2,0.0249,0.048575133
66,model_2,0.2698,0.2682822
67,model_2,0.4806,0.3768446
68,model_2,0.6473,0.6216724
69,model_2,0.0937,0.15615533
70,model_2,0.2429,0.2572004
71,model_2,0.1974,0.142484
72,model_2,0.2327,0.2859329
73,model_2,0.0672,0.09341502
74,model_2,0.7554,0.7577273
75,model_2,0.4633,0.43184158
76,model_2,0.5518,0.5437223
77,model_2,0.2451,0.41423532
78,model_2,0.4036,0.36438844
79,model_2,0.2338,0.16462237
80,model_2,0.0979,0.09206708
81,model_2,0.1907,0.16532436
82,model_2,0.0072,0.015555425
83,model_2,0.2432,0.28135613
84,model_2,0.2318,0.11746867
85,model_2,-0.0746,-0.027603611
86,model_2,0.4221,0.45854306
87,model_2,0.1755,0.1874159
88,model_2,0.2446,0.24321835
89,model_2,0.0904,0.086133726
90,model_2,0.0879,0.11622873
91,model_2,0.6955,0.62805337
92,model_2,0.0591,0.048870653
93,model_2,0.6959,0.6684443
