,model,truevals,predvals
0,model_4,0.1742,0.15739177
1,model_4,0.3472,0.31167072
2,model_4,0.2622,0.290018
3,model_4,0.0902,0.121785164
4,model_4,0.2579,0.24462269
5,model_4,0.2599,0.32198992
6,model_4,0.0246,0.034341484
7,model_4,0.2669,0.27985218
8,model_4,0.1207,0.13645662
9,model_4,0.0055,-0.015215388
10,model_4,0.5098,0.5331532
11,model_4,-0.012,0.051040962
12,model_4,0.7691,0.7374117
13,model_4,0.5229,0.5313219
14,model_4,0.3393,0.36099774
15,model_4,0.1309,0.1139646
16,model_4,0.172,0.15424938
17,model_4,0.0511,0.026037687
18,model_4,-0.0566,-0.03560391
19,model_4,0.6193,0.6003045
20,model_4,0.2788,0.18262395
21,model_4,0.3404,0.22281958
22,model_4,0.018,0.014174165
23,model_4,0.109,0.11995636
24,model_4,0.5985,0.6540936
25,model_4,0.216,-0.015205001
26,model_4,0.0461,-0.06424597
27,model_4,0.4293,0.2900893
28,model_4,0.3765,0.4125421
29,model_4,0.7156,0.7554742
30,model_4,0.1617,0.1504701
31,model_4,0.0708,0.03246162
32,model_4,0.0481,0.11376482
33,model_4,0.452,0.4695727
34,model_4,-0.0023,0.04155279
35,model_4,0.5507,0.33627596
36,model_4,0.1282,0.13216086
37,model_4,0.082,0.042540967
38,model_4,0.4076,0.33629593
39,model_4,-0.0092,0.16575883
40,model_4,-0.1556,-0.09225838
41,model_4,0.7308,0.81650466
42,model_4,0.2341,0.18436868
43,model_4,0.679,0.6400031
44,model_4,0.2077,0.34706986
45,model_4,0.5919,0.51343477
46,model_4,0.1955,0.19556409
47,model_4,0.4366,0.33115837
48,model_4,0.1824,0.2307416
49,model_4,0.3717,0.38339138
50,model_4,0.0313,0.051198512
51,model_4,-0.0219,0.01930731
52,model_4,0.0104,0.06611012
53,model_4,-0.032,-0.080690175
54,model_4,-0.0008,0.08468095
55,model_4,0.1056,0.009711856
56,model_4,0.9643,0.864159
57,model_4,0.4371,0.39385566
58,model_4,0.4938,0.56517696
59,model_4,0.6281,0.4793186
60,model_4,0.2727,0.30338407
