,model,truevals,predvals
0,model_6b,0.026,0.36605182
1,model_6b,0.007,0.44892058
2,model_6b,0.011,0.43477923
3,model_6b,-0.003,0.45248026
4,model_6b,0.013,0.44813582
5,model_6b,0.017,0.25316545
6,model_6b,-0.002,0.2944885
7,model_6b,0.081,0.3005374
8,model_6b,0.048,0.37181732
9,model_6b,0.02,0.35723242
10,model_6b,0.034,0.10882871
11,model_6b,0.05,0.10389754
12,model_6b,0.009,0.1582649
13,model_6b,-0.026,0.10312669
14,model_6b,0.066,0.17095259
15,model_6b,0.065,0.18566756
16,model_6b,-0.009,0.04565522
17,model_6b,-0.016,0.049486127
18,model_6b,0.205,0.34645104
19,model_6b,0.024,0.09660295
20,model_6b,0.067,0.35330957
21,model_6b,-0.002,0.23752803
22,model_6b,-0.021,0.024684843
23,model_6b,-0.029,0.063745394
24,model_6b,-0.051,0.13500755
25,model_6b,-0.035,0.14083412
26,model_6b,-0.063,0.094293505
27,model_6b,-0.016,0.08689389
28,model_6b,0.189,0.09890516
29,model_6b,0.149,0.12972578
30,model_6b,-0.166,-0.01904498
31,model_6b,-0.256,-0.08989834
32,model_6b,-0.233,-0.09933806
33,model_6b,-0.265,-0.089458175
34,model_6b,-0.241,-0.0854002
35,model_6b,-0.149,-0.11696241
36,model_6b,-0.114,-0.086895116
37,model_6b,-0.124,-0.05681353
38,model_6b,-0.093,0.5718579
39,model_6b,-0.094,0.3677821
40,model_6b,-0.171,0.23617989
41,model_6b,-0.181,0.19954182
42,model_6b,-0.159,0.30342627
43,model_6b,-0.095,0.16458815
44,model_6b,0.002,0.4685823
45,model_6b,0.136,0.45066476
46,model_6b,0.197,0.36846852
47,model_6b,0.138,0.334035
48,model_6b,0.133,0.27590063
49,model_6b,-0.068,0.10082458
50,model_6b,-0.111,0.016087212
51,model_6b,-0.1,0.029254522
52,model_6b,-0.086,-0.055138446
53,model_6b,-0.077,-0.012251683
54,model_6b,-0.085,0.035652466
55,model_6b,-0.087,-0.024529755
56,model_6b,-0.077,-0.0079181865
57,model_6b,-0.107,-0.13172293
58,model_6b,-0.083,-0.05285109
