,SMILES,max_sim,top5_sim,top10_sim,mean_sim,most_similar
0,C1C=CC2C=CC3=CC=CC4C=CC=1C=4C=23,0.47058823529411764,0.44007059761703726,0.4191657335911273,0.09612939677229718,c1ccc2ccc3cccc3c2cc1
1,C1C=CC2C=CC3=C(O)C=C(O)C4C=CC=1C=4C=23,0.3783783783783784,0.3717362817362817,0.3638442861649693,0.10199597671710332,N#Cc1c(N)cccc2ccc3c(N)cc(N)c3c12
2,C1C=CC2C=CC3=C(OC)C=C(OC)C4C=CC=1C=4C=23,0.34285714285714286,0.3353410553410553,0.3284846487556258,0.09656725532077536,Nc1ccc2ccc3cccc3c2c(N)c1
3,C1(O)C=C(O)C2C=CC3=C(O)C=C(O)C4C=CC=1C=4C=23,0.2692307692307692,0.2486737400530504,0.23874547217706282,0.09200294601626852,Nc1ccc2c(N)c3c(N)cc(N)c3c(N)c2cc1
4,C1(OC)C=C(OC)C2C=CC3=C(OC)C=C(OC)C4C=CC=1C=4C=23,0.2413793103448276,0.22468715239154619,0.21653252450236846,0.0866819211378567,Nc1ccc2c(N)c3c(N)cc(N)c3c(N)c2cc1
5,C1C(C(F)(F)F)=CC2C=CC3=CC(C(F)(F)F)=CC4C=CC=1C=4C=23,0.26666666666666666,0.24928435458146833,0.2422892361142636,0.09207497068876604,Nc1ccccc2cc3ccc(N)c3c(N)c12
6,C1C=CC2C(C#N)=C(C#N)C3=CC=CC4C(C#N)=C(C#N)C=1C=4C=23,0.6190476190476191,0.5753052503052503,0.5530429385429384,0.19388678333626277,N#Cc1c2cccccc2c(C#N)c2cccc12
7,C1C=CC=C2C=CC=CC3C=CC=1C2=3,0.47058823529411764,0.4434358288770054,0.42171791443850265,0.09347508092624605,c1ccc2ccc3cccc3c2cc1
8,C1C(C#N)=CC=C2C=CC(C#N)=CC3C=CC=1C2=3,0.6,0.5738375973303671,0.5529604653318502,0.18250692601211393,N#Cc1ccc(N)c2c(ccc3ccc(C#N)c32)c1
9,C1C=C(N)C=C2C=C(N)C=CC3C=CC=1C2=3,0.56,0.49422222222222223,0.4789426129426129,0.14729905283734598,Nc1ccc2ccc3cc(N)cc3c2c(N)c1
10,C1C=C(O)C=C2C=C(O)C=CC3C=CC=1C2=3,0.26666666666666666,0.2565591397849462,0.2532795698924731,0.09485658845151132,Nc1cc(N)cc2c(ccc3ccc(N)c32)c1
11,C1C=C(OC)C=C2C=C(OC)C=CC3C=CC=1C2=3,0.2647058823529412,0.2467944460080683,0.23950366558106495,0.08859149817320967,Nc1ccc2ccc3cc(N)nc3c2c(N)n1
12,C1(N)C=C(N)C=C2C=C(N)C=C(N)C3C=CC=1C2=3,0.68,0.6132486772486773,0.5786679894179894,0.15774768121324764,Nc1cc(N)c2ccc3cc(N)cc3c2c(N)c1
13,C1(O)C=C(O)C=C2C=C(O)C=C(O)C3C=CC=1C2=3,0.2564102564102564,0.25384615384615383,0.24867653770092796,0.09646946995178333,N#Cc1c(N)cc2cc(N)c3ccc(N)c3c2c(C#N)c1N
14,C1=CC=C2C=C3C=CC=CC4=CC=CC(=C1)C2=C43,0.625,0.49116897595158465,0.4547836221749265,0.1060835858959881,c1ccc2cc3cccc3cc2cc1
15,C1=C(C(F)(F)F)C=C2C=C3C=C(C(F)(F)F)C=CC4=CC=CC(=C1)C2=C43,0.34615384615384615,0.3229185086943708,0.30834729988798243,0.08873613289698506,c1ccc2cc3cccc3cc2cc1
16,C1(N)=CC=C2C=C3C=CC(N)=CC4=CC(N)=CC(=C1)C2=C43,0.5384615384615384,0.518062678062678,0.49110651023694507,0.14308674562864188,Nc1ccc2cc3ccc(N)c3c(N)c2c(N)c1
17,C1(O)=CC=C2C=C3C=CC(O)=CC4=CC(O)=CC(=C1)C2=C43,0.3,0.2853083833728995,0.27540877289304333,0.09127753798200709,Nc1ccccc2cc3ccc(N)c3c(N)c12
18,C12=C3C=CC1=CC=C1C=CC=CC1=C2C=C3,0.631578947368421,0.5426636155606408,0.5090460934946062,0.09445114169427805,c1ccc2ccc3cccc3c2cc1
19,C12=C3C=C(C(F)(F)F)C1=CC=C1C=CC=CC1=C2C(C(F)(F)F)=C3,0.40540540540540543,0.3742097360518413,0.36421931667075186,0.0891618225224375,Nc1cc(N)c2c1ccc1cccccc12
20,C12=C3C(N)=CC1=CC=C1C=C(N)C=C(N)C1=C2C=C3N,0.5925925925925926,0.5525415070242656,0.5310117114788973,0.14659950774746375,Nc1cc(N)c2c(N)cc3cc(N)cc3c2c(N)c1
21,C12=C3C(O)=CC1=CC=C1C=C(O)C=C(O)C1=C2C=C3O,0.23809523809523808,0.23612878349720456,0.2330993567835673,0.08906923477817445,N#Cc1cc(C#N)c2c(C#N)cc3ccc(N)c3c2cc1N
22,C1C=CC2=CC3=CC=CC=C4C=C(C=1)C2=C43,0.6,0.49000000000000005,0.4545244755244755,0.1077807315786593,c1ccc2cc3cccc3cc2cc1
23,C1(C)C(C)=CC2=CC3=CC(C)=C(C)C=C4C=C(C=1)C2=C43,0.25,0.23577712609970672,0.22783333864592628,0.0846664486262922,Nc1cc(N)cc2cc3cc(N)cc3cc2c1
24,C1C=CC2=C(C(F)(F)F)C3=CC=CC=C4C(C(F)(F)F)=C(C=1)C2=C43,0.3333333333333333,0.30333333333333334,0.2936453533026114,0.07609514554835113,Nc1cc(N)c2c(N)c3cccccc3c(N)c12
25,C1C=CC2=C(C#N)C3=CC=CC=C4C=C(C=1)C2=C43,0.6923076923076923,0.6051255169561621,0.5743711651251974,0.202953358400146,N#Cc1c2cccccc2cc2cccc12
26,C1C=CC2=C(C#N)C3=CC=CC=C4C(C#N)=C(C=1)C2=C43,0.7,0.6390769230769232,0.5951068376068376,0.19148733104465127,N#Cc1c2cccccc2c(C#N)c2cccc12
27,C1C(C(F)(F)F)=CC2=CC3=CC(C(F)(F)F)=CC=C4C=C(C=1)C2=C43,0.28125,0.26890965897544844,0.2600958551287499,0.08711787399408322,Nc1ccccc2cc3ccc(N)c3c(N)c12
28,C1C=CC2=C(O)C3=CC=CC=C4C(O)=C(C=1)C2=C43,0.3333333333333333,0.32287179487179485,0.3118632478632479,0.08000449136181066,Nc1c2cccccc2c(N)c2cccc12
29,C1C=CC2=C(N)C3=CC=CC=C4C(N)=C(C=1)C2=C43,0.6470588235294118,0.6094983447924625,0.5567491723962312,0.13998431286993168,Nc1c2cccccc2c(N)c2cccc12
30,N1C2=NC=NC3=NC=NC(=NC=1)N23,0.3888888888888889,0.3528282828282828,0.3238500388500388,0.07430331038973069,NC1=NC=N1
31,N1C2=NC(O)=NC3=NC(O)=NC(=NC=1O)N23,0.16,0.15230075187969924,0.14413539858004468,0.04850887632037609,c1ccc2c3ccnccc-3c-2cc1
32,N1C2=NC(OC)=NC3=NC(OC)=NC(=NC=1OC)N23,0.13636363636363635,0.12707486631016043,0.12088009049773754,0.04386060359539558,NC1=NC(N)=N1
33,N1C2=NC(N)=NC3=NC(N)=NC(=NC=1N)N23,0.4666666666666667,0.4017650186071239,0.35317170561449746,0.09630356516023716,NC1=NC(N)=N1
34,N1C2=NC(N(C)C)=NC3=NC(N(C)C)=NC(=NC=1N(C)C)N23,0.18518518518518517,0.16951061879454538,0.15755331748939844,0.04597608353054358,c1ccc2c3ccnccc-3c-2cc1
35,N1=CN=C2N3C(=NC=N2)N=C(C(F)(F)F)N=C13,0.23333333333333334,0.2304761904761905,0.2218972775166784,0.06080374448190329,NC1=NC=N1
36,N1=C(C#N)N=C2N3C(=NC(C#N)=N2)N=CN=C13,0.32432432432432434,0.3081871240010775,0.3030984760054528,0.1336854127294288,N#CC1=C2N=CN=C2C=C1
37,N1=C(C#N)N=C2N3C(=NC(C#N)=N2)N=C(C#N)N=C13,0.25925925925925924,0.2574074074074074,0.2455664488017429,0.1289813189011801,N#CC1=C(N)N=C1N
