,model,truevals,predvals
0,model_3,0.1742,0.1366844
1,model_3,0.3472,0.31870794
2,model_3,0.2622,0.2688217
3,model_3,0.0902,0.19056478
4,model_3,0.2579,0.27704307
5,model_3,0.2599,0.27164495
6,model_3,0.0246,0.07841694
7,model_3,0.2669,0.28255475
8,model_3,0.1207,0.26979017
9,model_3,0.0055,0.07087751
10,model_3,0.5098,0.4949451
11,model_3,-0.012,-0.022215236
12,model_3,0.7691,0.6988581
13,model_3,0.5229,0.5092516
14,model_3,0.3393,0.27636564
15,model_3,0.1309,0.17279227
16,model_3,0.172,0.18033919
17,model_3,0.0511,0.017175788
18,model_3,-0.0566,-0.09923191
19,model_3,0.6193,0.59500843
20,model_3,0.2788,0.20558052
21,model_3,0.3404,0.14949356
22,model_3,0.018,0.06439878
23,model_3,0.109,0.10685754
24,model_3,0.5985,0.70088565
25,model_3,0.216,0.13593829
26,model_3,0.0461,0.26360273
27,model_3,0.4293,0.3534512
28,model_3,0.3765,0.41073537
29,model_3,0.7156,0.7658439
30,model_3,0.1617,0.2025136
31,model_3,0.0708,0.071050145
32,model_3,0.0481,0.08046445
33,model_3,0.452,0.4307006
34,model_3,-0.0023,0.03572082
35,model_3,0.5507,0.4481959
36,model_3,0.1282,0.12044656
37,model_3,0.082,0.041866604
38,model_3,0.4076,0.35332072
39,model_3,-0.0092,0.10746682
40,model_3,-0.1556,-0.12093665
41,model_3,0.7308,0.75888926
42,model_3,0.2341,0.29522064
43,model_3,0.679,0.53437585
44,model_3,0.2077,0.4098721
45,model_3,0.5919,0.5139535
46,model_3,0.1955,0.12596689
47,model_3,0.4366,0.42069608
48,model_3,0.1824,0.13969897
49,model_3,0.3717,0.3430352
50,model_3,0.0313,0.041329887
51,model_3,-0.0219,0.045050304
52,model_3,0.0104,0.025587644
53,model_3,-0.032,-0.041972347
54,model_3,-0.0008,0.022017347
55,model_3,0.1056,0.14226349
56,model_3,0.9643,0.86103696
57,model_3,0.4371,0.3923301
58,model_3,0.4938,0.5690022
59,model_3,0.6281,0.4590748
60,model_3,0.2727,0.22840482
61,model_3,0.5963,0.59480846
62,model_3,0.4225,0.49058306
63,model_3,0.142,0.1506397
64,model_3,0.1854,0.20687746
65,model_3,0.0249,0.025539145
66,model_3,0.2698,0.10630852
67,model_3,0.4806,0.43988895
68,model_3,0.6473,0.64355475
69,model_3,0.0937,0.13842653
70,model_3,0.2429,0.23662008
71,model_3,0.1974,0.26425457
72,model_3,0.2327,0.26637185
73,model_3,0.0672,0.08147904
74,model_3,0.7554,0.7608617
75,model_3,0.4633,0.43643802
76,model_3,0.5518,0.61964005
77,model_3,0.2451,0.41406476
78,model_3,0.4036,0.30454993
79,model_3,0.2338,0.17585298
80,model_3,0.0979,0.09122875
81,model_3,0.1907,0.18841499
82,model_3,0.0072,0.025827343
83,model_3,0.2432,0.2901946
84,model_3,0.2318,0.055470128
85,model_3,-0.0746,-0.10046098
86,model_3,0.4221,0.27763638
87,model_3,0.1755,0.13490297
88,model_3,0.2446,0.2813623
89,model_3,0.0904,0.10402855
